id,No_voie,type_de_voie,voie,surface_carrez,type_local,surface_reelle,nombre_pieces_principales,departement
18384,1.0,RUE,MICHELET,"28,5",Appartement,22,2,78
18385,8.0,PL,MARINE,"92,67",Appartement,98,4,78
18386,30.0,RUE,DE SAINT EXUPERY,"109,68",Appartement,100,5,78
18387,53.0,RUE,ALEXANDRE DUMAS,"52,19",Maison,48,3,78
18388,3.0,RUE,ALBERT JOLY,"16,85",Appartement,17,1,78
18389,2.0,RTE,DE VERSAILLES,"34,06",Appartement,34,2,78
18390,126.0,AV,GENERAL DE GAULLE,"67,35",Appartement,67,2,78
18391,39.0,AV,LE KAIN,"52,01",Appartement,55,2,78
18392,9.0,RUE,DE LA VOIE POISSONNIERE,"81,87",Appartement,82,4,78
18393,1.0,RUE,DE L ILE,"22,95",Appartement,22,2,78
18394,3.0,RUE,DES ECOLES,"72,96",Appartement,72,3,78
18395,13.0,RUE,DU MARECHAL JOFFRE,"47,33",Appartement,46,3,78
18396,7.0,AV,CARNOT,"88,13",Appartement,90,3,78
18397,1040.0,AV,DU GENERAL DE GAULLE,"70,1",Appartement,70,3,78
18398,10.0,RUE,MICHEL ANGE,"76,63",Maison,78,4,78
18399,2.0,RUE,DE VERDUN,"63,19",Appartement,66,4,78
18400,10.0,RES,DES PLANTES,"65,51",Maison,65,4,78
18401,16.0,BD,DE LA REPUBLIQUE,"39,5",Appartement,36,3,78
18402,12.0,RTE,DE SAINT NOM,"112,45",Appartement,116,5,78
18403,33.0,RUE,LEBON,"55,39",Appartement,58,3,78
18404,9.0,RTE,DE LA PLAINE,"252,79",Maison,249,9,78
18405,57.0,RUE,HENRI RICHAUME,"54,66",Appartement,56,3,78
18406,41.0,AV,DE VERDUN,"67,12",Appartement,66,3,78
18407,97.0,RUE,MARCEL DECARRIS,"40,95",Appartement,42,2,78
18408,5.0,RTE,DES CULTURES,67,Appartement,65,4,78
18409,14.0,RUE,TRISTAN BERNARD,"53,68",Appartement,54,3,78
18410,21.0,RUE,DE MONTBUISSON,"80,23",Appartement,88,4,78
18411,18.0,RUE,GASTON VOILLEREAU,"59,72",Appartement,67,3,78
18412,139.0,RUE,DES LANDES,"38,6",Appartement,38,2,78
18413,9.0,AV,AUGUSTE RENOIR,"100,48",Appartement,98,5,78
18414,5.0,AV,DE SAINT GERMAIN,"44,43",Appartement,46,2,78
18415,36.0,RUE,DE LA MARNE,"70,36",Appartement,67,3,78
18416,21.0,RUE,CHARLES DE GAULLE,"201,66",Maison,110,4,78
18417,59.0,RUE,DES EBISOIRES,"92,8",Appartement,102,5,78
18418,15.0,BD,JEAN JAURES,"35,16",Appartement,29,2,78
18419,16.0,RUE,DES PANIERS GONDS,"119,5",Maison,66,3,78
18420,2.0,RES,TROIS FORETS,"72,86",Appartement,73,4,78
18421,5.0,RES,DE LA SABOTTE,"54,32",Appartement,53,3,78
18422,7.0,AV,DE SAINT GERMAIN,"44,67",Appartement,46,2,78
18423,18.0,AV,GAMBETTA,"75,7",Appartement,76,4,78
18424,24.0,RUE,YVAN TOURGUENEFF,"46,05",Appartement,52,2,78
18425,8.0,ALL,DE LA BRETECHE,"62,99",Appartement,63,3,78
18426,143.0,RUE,PHILIPPE SOUPAULT,"86,56",Maison,87,4,78
18427,4.0,CHE,ANDRE DERAIN,"55,01",Appartement,55,2,78
18428,3.0,RUE,D ANJOU,"68,42",Appartement,72,3,78
18429,4.0,RUE,JEAN JAURES,"14,19",Appartement,64,3,78
18430,85.0,AV,DU MAL FOCH,"58,26",Appartement,59,3,78
18431,13.0,RUE,ALBERT EINSTEIN,"54,94",Appartement,56,2,78
18432,5.0,ALL,DE L AQUEDUC,"73,79",Appartement,74,4,78
18433,11.0,RUE,DE L ENTENTE CORDIALE,"73,4",Appartement,76,4,78
18434,10.0,,RES DU BEL EBAT,"77,24",Appartement,78,3,78
18435,11.0,RUE,HENRI REGNAULT,"65,03",Appartement,50,3,78
18436,14.0,ALL,DES CYPRES,"29,16",Appartement,30,2,78
18437,132.0,BD,CARNOT,"13,9",Appartement,15,1,78
18438,3.0,RUE,MARCEL AYME,"62,58",Appartement,62,3,78
18439,112.0,AV,DE LA REPUBLIQUE,"42,3",Appartement,42,3,78
18440,17.0,RUE,MICHEL ANGE,"85,33",Maison,89,2,78
18441,82.0,RUE,PRESIDENT ROOSEVELT,"29,37",Appartement,30,1,78
18442,15.0,RUE,BRUNIER BOURBON,"30,89",Appartement,23,2,78
18443,51.0,BD,CARNOT,"59,8",Appartement,60,3,78
18444,29.0,AV,LUCIEN RENE DUCHESNE,"48,96",Appartement,45,2,78
18445,5.0,RES,TROIS FORETS,"73,43",Appartement,73,4,78
18446,2.0,RLE,DES GONDI,"95,42",Appartement,99,4,78
18447,59.0,AV,MAURICE BERTEAUX,"38,12",Appartement,39,2,78
18448,4.0,,RES DU BEL EBAT,"92,01",Appartement,91,5,78
18449,13.0,AV,DE L ABREUVOIR,"70,3",Appartement,71,3,78
18450,7.0,SQ,DE VERSAILLES,"53,11",Appartement,51,3,78
18451,29.0,AV,LUCIEN RENE DUCHESNE,"70,17",Appartement,69,3,78
18452,15.0,,RES DU BEL EBAT,"66,72",Appartement,66,3,78
18453,15.0,RUE,DE VERDUN,"24,44",Appartement,37,1,78
18454,37.0,AV,EUGENE ADAM,"53,83",Appartement,54,3,78
18455,2.0,SEN,DES POMMIERS,"44,75",Appartement,44,2,78
18456,74.0,QUAI,BOISSY D ANGLAS,"67,23",Appartement,72,4,78
18457,16.0,ALL,CLAUDE MONET,"103,03",Appartement,103,5,78
18458,45.0,AV,LE KAIN,"73,77",Appartement,71,3,78
18459,7.0,RUE,DE L EGALITE,"64,15",Maison,60,3,78
18460,19.0,RTE,DE MONTESSON,"65,51",Appartement,75,3,78
18461,6.0,RUE,THIERS,"19,07",Appartement,29,2,78
18462,1.0,ALL,D ANJOU,"56,41",Appartement,56,3,78
