Valeur fonciere,Code postal,Commune,Surface Carrez du 1er lot,Type local,Surface reelle bati,Nombre pieces principales
42800.0,4400.0,BARCELONNETTE,23.02,Appartement,23,1
64000.0,4850.0,JAUSIERS,59.73,Appartement,63,2
105375.0,4800.0,GREOUX-LES-BAINS,33.05,Appartement,33,2
40000.0,4000.0,DIGNE-LES-BAINS,23.25,Appartement,23,1
61000.0,4000.0,DIGNE-LES-BAINS,30.47,Appartement,30,2
44585.0,4000.0,DIGNE-LES-BAINS,28.33,Appartement,29,1
67830.0,4400.0,ENCHASTRAYES,35.97,Appartement,44,1
71000.0,4800.0,SAINT-MARTIN-DE-BROMES,20.85,Maison,32,2
43000.0,4260.0,ALLOS,20.55,Appartement,21,1
75000.0,4200.0,PEIPIN,142.9,Appartement,147,5
113000.0,4800.0,GREOUX-LES-BAINS,18.44,Appartement,18,1
52800.0,4400.0,ENCHASTRAYES,26.76,Appartement,30,1
57000.0,4000.0,DIGNE-LES-BAINS,53.1,Appartement,51,2
37000.0,4400.0,ENCHASTRAYES,35.2,Appartement,23,2
51000.0,4800.0,GREOUX-LES-BAINS,18.84,Appartement,18,1
115000.0,4130.0,VOLX,80.26,Appartement,80,3
160500.0,4300.0,FORCALQUIER,76.81,Appartement,74,4
62500.0,4200.0,SISTERON,79.54,Appartement,80,3
52500.0,4200.0,SISTERON,72.07,Appartement,85,2
66450.35,4140.0,SELONNET,29.66,Appartement,29,2
47000.0,4260.0,ALLOS,29.03,Appartement,37,2
150500.0,4100.0,MANOSQUE,82.37,Maison,79,5
201500.0,4300.0,FORCALQUIER,33.8,Appartement,41,2
24000.0,4260.0,ALLOS,19.72,Appartement,19,1
270200.0,4100.0,MANOSQUE,15.0,Appartement,98,4
128014.89,4400.0,BARCELONNETTE,58.96,Appartement,60,3
90000.0,4300.0,FORCALQUIER,42.73,Appartement,42,2
68730.0,4800.0,GREOUX-LES-BAINS,25.32,Appartement,27,1
19000.0,4260.0,ALLOS,14.41,Appartement,20,1
44000.0,4500.0,RIEZ,38.97,Appartement,60,2
37000.0,4200.0,SISTERON,44.44,Appartement,35,3
67500.0,4300.0,FORCALQUIER,27.26,Maison,29,1
76600.0,4100.0,MANOSQUE,83.88,Appartement,84,5
52300.0,4400.0,UVERNET-FOURS,25.55,Appartement,29,2
40000.0,4200.0,NOYERS-SUR-JABRON,40.4,Appartement,38,1
80000.0,4200.0,SISTERON,136.86,Appartement,44,2
62000.0,4140.0,SEYNE,90.75,Appartement,87,4
146200.0,4300.0,PIERRERUE,59.36,Maison,66,2
61500.0,4260.0,ALLOS,26.99,Appartement,27,1
88000.0,4000.0,DIGNE-LES-BAINS,67.22,Appartement,68,3
77000.0,4700.0,ORAISON,39.16,Appartement,30,2
63500.0,4800.0,GREOUX-LES-BAINS,25.07,Appartement,27,1
58000.0,4100.0,MANOSQUE,63.73,Appartement,68,3
230000.0,4800.0,GREOUX-LES-BAINS,102.87,Appartement,100,4
135700.0,4000.0,DIGNE-LES-BAINS,82.11,Appartement,81,4
76000.0,4800.0,GREOUX-LES-BAINS,23.35,Appartement,24,1
61400.0,4100.0,MANOSQUE,30.05,Appartement,31,1
44000.0,4300.0,FORCALQUIER,49.2,Appartement,51,2
69300.0,4800.0,GREOUX-LES-BAINS,24.25,Appartement,24,1
41500.0,4400.0,UVERNET-FOURS,37.55,Appartement,36,2
230000.0,4260.0,ALLOS,108.85,Appartement,81,2
220000.0,4400.0,UVERNET-FOURS,73.99,Appartement,59,3
67560.0,4140.0,MONTCLAR,28.02,Appartement,28,1
39980.0,4140.0,SEYNE,22.91,Appartement,27,1
61700.0,4800.0,GREOUX-LES-BAINS,27.36,Appartement,27,1
70020.0,4800.0,GREOUX-LES-BAINS,27.22,Appartement,27,1
226750.0,4300.0,FORCALQUIER,92.94,Maison,95,4
81860.0,4800.0,GREOUX-LES-BAINS,30.95,Appartement,30,1
69450.0,4100.0,MANOSQUE,62.43,Appartement,60,2
33000.0,4000.0,DIGNE-LES-BAINS,35.71,Appartement,36,1
83000.0,4160.0,L ESCALE,61.53,Appartement,61,2
62700.0,4800.0,GREOUX-LES-BAINS,27.18,Appartement,26,1
44000.0,4120.0,CASTELLANE,18.0,Appartement,18,1
43000.0,4400.0,UVERNET-FOURS,24.87,Appartement,25,1
101000.0,4180.0,VILLENEUVE,62.85,Appartement,70,3
77000.0,4100.0,MANOSQUE,56.52,Appartement,54,3
70200.0,4000.0,DIGNE-LES-BAINS,52.45,Appartement,70,4
43000.0,4100.0,MANOSQUE,67.0,Appartement,64,4
47200.0,4850.0,JAUSIERS,28.48,Appartement,28,1
65000.0,4100.0,MANOSQUE,54.33,Appartement,54,3
70000.0,4850.0,JAUSIERS,35.65,Appartement,46,2
46890.0,4000.0,DIGNE-LES-BAINS,21.35,Appartement,23,1
54090.0,4400.0,UVERNET-FOURS,32.84,Appartement,33,1
43500.0,4210.0,VALENSOLE,19.28,Appartement,19,1
77400.0,4200.0,SISTERON,55.5,Appartement,61,2
128490.0,4000.0,DIGNE-LES-BAINS,73.48,Appartement,75,4
130000.0,4200.0,SISTERON,75.06,Appartement,74,3
87000.0,4100.0,MANOSQUE,83.46,Appartement,82,4
155000.0,4160.0,CHATEAU-ARNOUX-SAINT-AUBAN,89.06,Maison,93,4
19400.0,4140.0,SEYNE,25.08,Appartement,24,2
51400.0,4260.0,ALLOS,26.41,Appartement,26,1
35000.0,4000.0,DIGNE-LES-BAINS,54.79,Appartement,54,4
110000.0,4400.0,UVERNET-FOURS,42.72,Appartement,45,2
64500.0,4300.0,FORCALQUIER,45.2,Appartement,50,2
86000.0,4160.0,CHATEAU-ARNOUX-SAINT-AUBAN,44.24,Appartement,45,2
45000.0,4290.0,VOLONNE,41.7,Appartement,15,1
87000.0,4400.0,BARCELONNETTE,46.21,Appartement,50,2
111300.0,4300.0,FORCALQUIER,64.99,Appartement,63,3
230000.0,4220.0,SAINTE-TULLE,97.07,Maison,87,4
67500.0,4800.0,GREOUX-LES-BAINS,27.5,Appartement,27,1
105000.0,4300.0,FORCALQUIER,54.64,Appartement,56,3
28500.0,4100.0,MANOSQUE,44.2,Appartement,52,2
27000.0,4260.0,ALLOS,16.61,Appartement,17,1
113000.0,4300.0,FORCALQUIER,46.42,Appartement,47,2
48700.0,4400.0,BARCELONNETTE,25.44,Appartement,26,2
29900.0,4260.0,ALLOS,17.31,Appartement,18,1
29500.0,4000.0,DIGNE-LES-BAINS,22.9,Appartement,39,1
46937.0,4140.0,SEYNE,46.93,Appartement,30,2
55500.0,4400.0,BARCELONNETTE,38.9,Appartement,40,2
142500.0,4230.0,SAINT-ETIENNE-LES-ORGUES,152.65,Appartement,110,5
35000.0,4120.0,DEMANDOLX,36.42,Appartement,40,1
32500.0,4330.0,BARREME,25.95,Appartement,38,1
64050.0,4100.0,MANOSQUE,53.81,Appartement,53,2
60000.0,4400.0,UVERNET-FOURS,30.0,Appartement,31,1
45710.0,4400.0,ENCHASTRAYES,24.89,Appartement,25,2
55500.0,4400.0,ENCHASTRAYES,45.22,Appartement,38,3
35500.0,4400.0,ENCHASTRAYES,22.92,Appartement,23,1
20140.0,4260.0,ALLOS,11.43,Appartement,15,1
25650.0,4400.0,BARCELONNETTE,16.81,Appartement,18,1
126000.0,4100.0,MANOSQUE,68.19,Appartement,66,4
61000.0,4100.0,MANOSQUE,59.5,Appartement,63,3
54000.0,4260.0,ALLOS,28.4,Appartement,20,2
30500.0,4120.0,CASTELLANE,18.26,Appartement,20,1
80000.0,4850.0,JAUSIERS,28.9,Maison,63,3
